Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
24.5,1,0,0,24.5,1,0,0,24.5,1,2018,A
28.1,4,0,0.4,28.5,2,0,0,28.5,2,2018,A
30.5,6,0,0,30.5,4,0,0,30.5,3,2018,A
31.1,8T,0,0,31.1,6,0,0,31.1,4,2018,A
32,11,0,0,32,8,0,0,32,5,2018,A
32.5,13,0,0,32.5,10,0,0,32.5,6,2018,A
32.6,14,0,0,32.6,11,0,0,32.6,7,2018,A
29.3,5,0,0,29.3,3,4,0,33.3,8,2018,A
35.1,19,0,0,35.1,14,0,0,35.1,9,2018,A
32.1,12,0,0,32.1,9,4,0,36.1,10,2018,A
37.5,21,0,0,37.5,16,0,0,37.5,11,2018,A
30.8,7,0,0,30.8,5,8,0,38.8,12,2018,A
37,20,0,0,37,15,4,0,41,13,2018,A
31.4,10,0,0,31.4,7,8,8,47.4,14,2018,A
27.5,3,20,0,47.5,17,0,0,47.5,15,2018,A
34.8,18,0,0,34.8,13,12,7,53.8,16,2018,A
34.3,15,0,21.2,55.5,20,0,0,55.5,17,2018,A
38.6,22T,0,11.2,49.8,18,8,0,57.8,18,2018,A
34.6,17,20,0,54.6,19,4,0,58.6,19,2018,A
38.6,22T,20,0,58.6,21,12,0,70.6,20,2018,A
27.4,2,60,9.6,97,22,0,3,100,21,2018,A
34.4,16,0,0,34.4,12,0,---,---,RF,2018,A
31.1,8T,E,---,---,E,---,---,---,E,2018,A
29.3,3,0,0,29.3,1,0,0,29.3,1,2017,A
30.8,5T,0,0,30.8,2T,0,0,30.8,2,2017,A
31,9,0,0,31,4,0,0,31,3,2017,A
31.3,10,0,0,31.3,5,0,0,31.3,4,2017,A
31.5,11,0,0,31.5,6,0,0,31.5,5,2017,A
31.8,12T,0,0,31.8,7T,0,0,31.8,6,2017,A
32.3,16,0,0,32.3,10,0,0,32.3,7,2017,A
32.5,17,0,0,32.5,11,0,0,32.5,8,2017,A
28.8,2,0,2,30.8,2T,4,0,34.8,9,2017,A
35.3,22,0,0,35.3,14,0,0,35.3,10,2017,A
31.8,12T,0,0,31.8,7T,4,0,35.8,11,2017,A
36.8,24T,0,0,36.8,17T,0,0,36.8,12,2017,A
36.8,24T,0,0,36.8,17T,0,2,38.8,13,2017,A
39.3,31T,0,0,39.3,21,0,0,39.3,14,2017,A
33.8,19,0,2.4,36.2,15,4,0,40.2,15,2017,A
36.5,23,0,0,36.5,16,4,0,40.5,16,2017,A
34.8,21,0,0,34.8,13,4,2,40.8,17,2017,A
38.8,30,0,2,40.8,22,0,0,40.8,18,2017,A
37.8,29,0,0,37.8,20,4,0,41.8,19,2017,A
25.8,1,20,0,45.8,24,0,0,45.8,20,2017,A
42.5,34,0,0,42.5,23,4,0,46.5,21,2017,A
33.5,18,0,0,33.5,12,16,0,49.5,22,2017,A
30,4,20,0,50,26,0,0,50,23,2017,A
39.5,33,0,8.8,48.3,25,0,5,53.3,24,2017,A
37.5,27T,0,0,37.5,19,12,4,53.5,25,2017,A
37.3,26,0,16.8,54.1,28,4,0,58.1,26,2017,A
31.8,12T,20,0,51.8,27,0,8,59.8,27,2017,A
43,35,20,0,63,29,0,0,63,28,2017,A
39.3,31T,20,10.4,69.7,30,0,0,69.7,29,2017,A
30.8,5T,40,0,70.8,31,0,0,70.8,30,2017,A
34.5,20,40,13.2,87.7,32,4,0,91.7,31,2017,A
30.8,5T,40,21.2,92,33,0,0,92,32,2017,A
37.5,27T,40,18.4,95.9,34,0,0,95.9,33,2017,A
32,15,0,0,32,9,0,---,---,RF,2017,A
30.8,5T,20,---,---,RF,---,---,---,RF,2017,A
29.3,4,0,0,29.3,4,0,0,29.3,1,2016,A
25.5,1,0,0,25.5,1,4,0,29.5,2,2016,A
30.3,5T,0,0,30.3,5,0,0,30.3,3,2016,A
30.5,7,0,0,30.5,7,0,0,30.5,4,2016,A
31,8,0,0,31,8,0,0,31,5,2016,A
27,2,0,0,27,2,4,0,31,6,2016,A
27.5,3,0,0,27.5,3,4,1,32.5,7,2016,A
34.3,17,0,0,34.3,9,0,0,34.3,8,2016,A
30.3,5T,0,0,30.3,6,4,0,34.3,9,2016,A
36,18,0,0,36,10,0,0,36,10,2016,A
37,19T,0,0,37,11,0,0,37,11,2016,A
37.3,21,0,0,37.3,13,0,0,37.3,12,2016,A
39.3,22,0,0,39.3,14,0,0,39.3,13,2016,A
37,19T,0,0,37,12,4,0,41,14,2016,A
32.5,13,0,8.4,40.9,15,8,0,48.9,15,2016,A
46.3,27,0,0,46.3,16,4,0,50.3,16,2016,A
32.3,10T,20,0,52.3,17,0,0,52.3,17,2016,A
32.3,10T,20,0,52.3,18,0,0,52.3,18,2016,A
32.3,10T,20,4,56.3,19,0,0,56.3,19,2016,A
41.5,25,20,0,61.5,20,0,0,61.5,20,2016,A
40.3,23,0,28,68.3,21,0,0,68.3,21,2016,A
33,14,40,25.6,98.6,22,4,0,102.6,22,2016,A
31.5,9,60,12,103.5,23,0,0,103.5,23,2016,A
33.3,15,20,---,---,TE,0,4,---,TE,2016,A
